ACC_0,ACC_1,ACC_2,BVP,EDA,TEMP,labels
57.0,6.0,27.0,11.77,0.262513,33.41,0.0
63.0,0.0,-3.0,-8.78,0.218093,34.34,0.0
54.0,25.0,20.0,7.22,0.448733,35.79,0.0
38.0,29.0,42.0,-39.62,0.35076,33.41,0.0
-33.0,-7.0,-55.0,25.47,0.11923,33.07,0.0
-65.0,0.0,6.0,21.57,0.187026,31.47,0.0
-60.0,14.0,21.0,11.71,2.493374,34.34,0.0
-48.0,-18.0,39.0,-67.22,2.706035,34.37,0.0
57.0,-23.0,-13.0,55.13,7.782228,34.66,0.0
38.0,-43.0,24.0,-78.41,3.310325,33.89,0.0
60.0,-15.0,7.0,-67.45,7.255526,34.68,0.0
48.0,-33.0,22.0,7.95,4.723836,33.5,0.0
28.0,24.0,50.0,124.14,0.213889,34.5,0.0
-18.0,-8.0,-62.0,-47.17,0.11923,33.07,0.0
57.0,29.0,-11.0,-9.34,0.281685,33.31,0.0
62.0,-1.0,-12.0,-15.14,0.447978,34.29,0.0
-35.0,-27.0,45.0,-50.92,2.73162,34.37,0.0
36.0,9.0,51.0,-44.13,0.253558,33.5,0.0
-34.0,0.0,54.0,-8.98,2.55222,31.77,0.0
26.0,25.0,51.0,43.58,0.245883,33.27,0.0
-63.0,2.0,17.0,12.48,0.184468,31.43,0.0
60.0,-12.0,13.0,10.49,4.352115,34.09,0.0
28.0,14.0,55.0,-38.04,1.225564,33.87,0.0
-16.0,61.0,8.0,-69.3,2.181106,32.29,0.0
41.0,25.0,41.0,10.47,0.354598,33.43,0.0
62.0,0.0,12.0,8.49,0.160433,34.61,0.0
60.0,-4.0,18.0,-3.66,1.109279,34.68,0.0
56.0,-11.0,26.0,-3.91,4.6829,34.25,0.0
59.0,-5.0,21.0,11.73,0.992895,35.25,0.0
10.0,11.0,61.0,-22.08,0.248426,34.13,0.0
61.0,-2.0,-13.0,16.56,0.455653,34.5,0.0
35.0,23.0,47.0,-39.13,0.280406,33.31,0.0
20.0,-9.0,59.0,6.23,3.622014,32.59,0.0
26.0,26.0,51.0,-50.9,0.248441,33.25,0.0
45.0,-14.0,43.0,-113.59,2.154243,33.89,0.0
56.0,19.0,23.0,14.83,0.187341,35.83,0.0
